67,273333570,SVL LOYALTY         ,UBIK7  ,9655468,141,17,2020-01-23 15:20:25.487
68,273333999,BRIZ,0,,0,0,2019-11-28 10:49:44.317
69,273334530,ALMAZ               ,       ,0,17,5,2020-02-11 09:59:43.460
70,273335510,KONOSHA             ,UBGF4  ,9177404,143,16,2019-12-11 14:59:23.017
71,273336310,MASTER              ,"",7434195,22,4,2020-02-11 09:58:14.063
72,273336490,NIKOLAY AKSENENKO   ,UCDH   ,9711250,68,12,2020-02-11 09:58:48.340
73,273336610,ULIKA,UBHF2,8728218,77,14,2020-02-11 09:55:44.627
74,273336670,ALEXANDER           ,UFRJ   ,9541150,128,16,2020-01-28 10:00:01.880
75,273337080,SVL UNITY ,UHKU,9655470,140,17,2020-02-09 20:15:08.723
76,273339520,OT-2108/BN-T-02,"",0,140,12,2019-10-21 14:59:55.683
77,273339800,VOLGO-BALT 237,UIBV,8230510,113,13,2020-01-18 19:59:38.900
78,273340850,ANATOLIY SIDENKO,UBPL3,9618721,140,17,2020-02-08 15:00:00.217
79,273342520,DORIDE,UBYE9,9421958,141,17,2020-02-08 19:59:36.500
80,273342800,NEFTERUDOVOZ-52M ,UDZM,8726179,119,13,2020-01-27 19:59:48.350
81,273345310,VOLGO-DON 177,VD 177,8959609,138,16,2019-10-08 09:59:27.177
82,273345600,M.KHACHEPURIDZE,UEBF,8727939,138,17,2020-02-11 09:57:25.383
83,273345900,VOLGONEFT-138 ,UGOO,8230807,130,16,
84,273346500,VOLGONEFT-261,UFTL,8230895,132,16,2019-11-26 00:53:38.657
85,273347600,KAPITAN SCHEMILKIN,UITY,8727965,138,16,2020-02-11 09:43:49.530
86,273347630,VOLGONEFT-237,UBRB7,0,133,17,2019-11-10 19:58:48.557
87,273348630,CALLIOPE            ,UHXL   ,9540302,140,17,2020-02-10 19:59:27.960
88,273349080,AVANGARD,UBWL4,9522403,134,21,2020-02-11 09:50:14.837
89,273349590,BARRAKUDA           ,UBCM9  ,0,15,6,2020-02-11 09:59:05.547
90,273350230,KAPITAN SERGEEV,"",9584396,140,17,2019-10-20 23:59:28.187
91,273350840,KIRZHEN             ,UBBI9  ,,0,0,2020-02-10 19:57:46.473
92,273351150,TEGEN,UBDI7,,20,5,2020-01-26 09:41:57.053
93,273351610,SBORSHIK 348        ,       ,0,34,8,2020-02-11 09:59:57.420
94,273351980,MARSHAL TUKHACHEVSKY,UBLJ4  ,9035541,114,16,2020-02-11 09:57:50.457
95,273352060,SOMERI,UCMQ,8726715,34,10,2019-09-26 20:27:33.143
96,273353810,PILOT 4  ,UBYG7,0,16,5,2020-02-11 09:59:39.650
97,273354670,TEMRYUK             ,UBWI2  ,9638991,34,14,2020-02-11 09:59:57.800
98,273354910,ELGA-1,UAYJ,8848408,140,17,2019-11-06 09:59:20.427
99,273355080,HELIOS/ARTEMIDA,UBSG5,9595022,137,15,2019-12-12 11:30:55.540
100,273355250,ANT ,UAFS,8407230,82,10,2020-01-20 23:45:14.060
101,273355340,GAZPROMNEFTZUID-WEST,UBVH4,9286463,82,12,2020-01-31 14:56:02.883
102,273355350,VOLGONEFT-114,UBEI4,0,132,16,2019-11-16 04:59:51.693
103,273355840,TN 1,UBCI5,5379315,49,7,2019-10-04 15:14:37.897
104,273356460,ALFEO/AFRODITA,UBLI2,9631163,138,16,2019-12-09 09:59:20.013
105,273357310,KHOKHOL,UEUL,,28,8,2020-02-11 09:56:56.117
106,273357540,ZERNOGRAD,UBYH8,9252905,140,16,2020-02-02 04:59:53.223
107,273357900,MODULUS 3           ,V4AH2  ,9471812,90,16,2019-12-05 23:58:59.823
108,273358260,SVYATITEL ALEKSIY   ,UBJI8  ,9247625,128,16,2020-01-24 17:34:53.747
109,273358280,BAYKAL,UCWU,8726351,37,19,2019-12-07 17:08:25.177
110,273358440,IMANTA,UGCC   ,8898491,55,14,2020-02-11 09:59:50.770
111,273359130,KAPITAN GUDOVICH,GUDOVIC,9584384,140,17,2019-11-09 04:52:03.597
112,273359740,TO-1003,UBBI8,0,84,12,2019-10-18 15:30:28.943
113,273360450,MARAL,UAXE5,8685923,52,12,2019-11-07 14:59:56.617
114,273361100,GELIOS,UCZB   ,8711916,122,15,2020-01-15 09:59:31.913
115,273362890,STS STAR            ,UBHM4  ,8902266,32,9,2020-01-16 09:59:45.373
